--md5:b121aed5573296d2245fd9da6bb6b595
Table_Collection = { 
	[1] = {id = 1, ItemId = {53500,53501,53502,53503,53504,53505,53506,53507,53508,53509,53510,53511,53512,53513,53514,53515}, mapID = 27, Icon = 'item_task_61', Desc = 'In A.W 800, Himmelmez led the Undead Army and entered Glast Heim. The Royal Legion was unable to match them. The capital became a dead city overnight. Some people thought that there were \"traitors\" in the royal family who had leaked military intelligence to Himmelmez. A secret investigator locked fifteen suspects according to the remained royal documents, and compiled the fifteen suspects’ information into the [End of Glast Heim - Rebels File]. The true identities of the traitors in the file are not explicitly mentioned, but traces can be found from the information on those related items. Details of the file can be checked at Springnam.', RewardStr = 'Finish collecting GLC.A031 File %s', Quality = 4, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.A031 File', RedTip = 10001},
	[2] = {id = 2, ItemId = {53516,53517,53518,53519,53520,53521,53522,53523,53524,53525,53526}, mapID = 28, Icon = 'item_task_62', Desc = 'The four exorcists who were close friends and deeply favored by the king made a bet with each other, but no one really cared about this gambling game. However, Fate quietly played a joke on them.In order to save their friend Karen Zander, the four of them had used different methods, but they caused a terrible tragedy. File details can be reexamined by the shadow exorcist.', RewardStr = 'Finish collecting GLC.X114 File %s', Quality = 4, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.X114 File', RedTip = 10002},
	[3] = {id = 3, ItemId = {53527,53528,53529,53530,53531,53532,53533,53534}, mapID = 37, Icon = 'item_task_56', Desc = 'Recorded a grand wedding that was held on the eve of the demise of the ancient city of Glast Heim. Gewisslanny and Prince Gabrielle misunderstood each other due to prejudice, and eventually joined hands because of love. However, at the time of the wedding, Himmelmez came and brought all the good things into a dream that would never wake up. The file details can be checked at the Graveyard Shift.', RewardStr = 'Finish collecting GLC.E109 File %s', Quality = 4, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.E109 File', RedTip = 10003},
	[4] = {id = 4, ItemId = {53590,53591,53592,53593,53594,901241}, mapID = 30, Icon = 'item_47004', Desc = 'Legend has it that it was generated from the wings of Valkyries who died in the Ragnarok, symbolizing eternity and mythology. To this day, there is still some holy magical power of Valkyries.', RewardStr = 'Finish collecting Archangel Wing %s', Quality = 3, AdventureReward = {buffid={100018001}}, RewardProperty = {MaxHp=15}, Name = 'Archangel Wing', RedTip = 10004},
	[5] = {id = 5, ItemId = {53539,53540,53541,53542,53543,53544,53545,53546,53547}, mapID = 28, Icon = 'item_task_60', Desc = 'Also known as \"Stardust File\". It records the origin of the mysterious organization \"Black Army\" hidden in the Dragon Valley. These warriors marked by Valkyrie helmets were once the heroes of the epic \"Nibelungen Ring\". They returned to the world from Valhalla, and guarded the Dragon Valley secretly. Like stardust, They illuminate the darkness with shimmering light.', RewardStr = 'Finish collecting GLC.A014 File %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.A014 File', RedTip = 10005},
	[6] = {id = 6, ItemId = {53553,53554,53555,53556,53548,53549,53551,53550,53552}, mapID = 30, Icon = 'item_task_57', Desc = 'A sudden plague changed Gultom’s life. Galtom had a strong resistance to the plague, which made him the only person who could end the disaster. So the kingdom used the power of the High Wizards to guide almost all the plagues onto Gultom. Galtom made a wreath for Carlis, and Gultom’s mood was undoubtedly very happy. However, it didn’t last long. Gultom was suffering from a plague and had to move out from the densely populated city. Carlis was tried hard to look for Gultom, and finally found him in the jungle outside the city. Gultom was frightened, Ask Calis not to come over, but Carlis didn’t care... Good guys always have bad luck. And Galtom was wrong. When the danger is over, People will kill all the dangers in the cradle, For fear that they will be hurt again. People are such a creature. When Carlis shouted loudly on the gallows, These indifferent people were not ashamed of it. Most of the people were also sitting on the sidelines, and even clapping their hands. The death of Carlis caused a considerable blow to Galtom. Gultom chose to revenge, and this revenge is reasonable. He released his plague and the repressed plague broke out even more brutally. In a matter of moments, Both the King and the Royal Affairs Officer were killed. At the end of the matter, He let his friend Clay take his life and made the plague disappear.', RewardStr = 'Finish collecting GLC.X157 File %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.X157 File', RedTip = 10006},
	[7] = {id = 7, ItemId = {53557,53558,53559,53560,53561,53562}, mapID = 30, Icon = 'item_task_58', Desc = 'After the second prince of the palace were missing, a Cursed demon named Gluttony appeared in the capital. Knight Dayton went to kill him under the order of the great prince. Soon after, the third prince disappeared. At the same time, a Cursed demon named Decayed appeared around the palace. The great prince who loved the people would never allow him to cause disasters in the capital. And Knight Dayton was once again ordered to eliminate him. Then the Cursed demon named Fighter appeared, his curse brought endless fights. Because of his curse, Bloodshed happened in the capital. The great prince decided to let Knight Dayton punish this evil demon. At the same time, the fourth prince had been out hunting and there was no news for a long time. The great prince declared that he found the fourth Cursed demon, and ordered Knight Dayton to eliminate him. Dayton knew that all these were a conspiracy made by the great prince in order to inherit the throne. Dayton, who was suspicious of the great prince, Did not eliminate the so-called Cursed demon immediately. The fifth prince told Dayton that his three brothers died because of the great prince’s conspiracy. Power is the demon, the great prince was tempted by the demon and he framed the three princes. Dayton, As the sword of the great prince, Naturally had an unshirkable responsibility. Dayton decided to betray the knight spirit he believed in - loyalty! In order to guard the justice in his heart, He killed the great prince! After the death of the great prince, Dayton brought back the fifth prince he had hidden, and warned him that power is the demon in everyone’s heart, and he must defeat this demon! The fifth prince agreed to Dayton’s request with tears. And Dayton ended his own life in the hall.', RewardStr = 'Finish collecting GLC.X163 File %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.X163 File', RedTip = 10007},
	[8] = {id = 8, ItemId = {53584,53585,53586,53587,53588,53589}, mapID = 29, Icon = 'item_task_59', Desc = 'Edward, who was attacked, Came to a hidden cave followed by undead monsters. Here, He found a dark core, and he escaped from the danger by using it. The cost was that he lost his appearance and life. He was a knight, and although he was filled with the dark power, He believed that light and darkness were determined by a thought and there were only evil people, but no evil power. He decided to use this power to help those in need, and to secretly guard his sweetheart. In the final moment of the invasion of the dark monsters, Black Samurai Edward used all his strength and life to kill the leader of the monsters. His sweetheart, Nika, Finally recognized his identity. But what has gone was gone...', RewardStr = 'Finish collecting GLC.X185 File %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'GLC.X185 File', RedTip = 10008},
	[9] = {id = 9, ItemId = {53563,53564,53565,53566,53567}, mapID = 29, Icon = 'item_43020', Desc = '\"Mimos knows that in order to protect his important people, he has to be ready to a terrible ending, not frustrated or escaping, bravely marching forward with his own strength. The fighting is endless!\"', RewardStr = 'Finish collecting Mimos’ Robe %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'Mimos’ Robe', RedTip = 10010},
	[10] = {id = 10, ItemId = {53568,53569,53570,53571,53572}, mapID = 29, Icon = 'item_12503', Desc = 'This arrow has existed long ago, but it is invisible and unmarked. Only at the moment when the kingdom’s disaster is coming, any warrior can shoot this arrow as long as he has the courage in his heart.', RewardStr = 'Finish collecting Invisible Arrow %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'Invisible Arrow', RedTip = 10011},
	[11] = {id = 11, ItemId = {53573,53574,53575,53576,53577,53578}, mapID = 30, Icon = 'item_40736', Desc = 'The Life Sword is a sword with a desire to fight. If the sword is pulled out, it can’t be sheathed if it doesn’t taste blood. The owner of the sword must respect the will of the sword, Otherwise the sword will betray the master and kill at will.', RewardStr = 'Finish collecting Life Sword %s', Quality = 3, AdventureReward = _EmptyTable, RewardProperty = {MaxHp=15}, Name = 'Life Sword', RedTip = 10012},
