--md5:5147275d83acbdf2fca4b2cb002a7952
Table_Guild_Treasure = { 
	[10001] = {id = 10001, Name = 'Tyrfing base chest', Order = 17, NPC = 7830, Type = 1, GuildReward = {3544}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10002] = {id = 10002, Name = 'All In Peace base chest', Order = 18, NPC = 7830, Type = 1, GuildReward = {3543}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10003] = {id = 10003, Name = 'Eternal Spear base chest', Order = 19, NPC = 7830, Type = 1, GuildReward = {3546}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10004] = {id = 10004, Name = 'Gods’ Gaze base chest', Order = 20, NPC = 7840, Type = 1, GuildReward = {3541}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10005] = {id = 10005, Name = 'Golden Bough base chest', Order = 21, NPC = 7840, Type = 1, GuildReward = {3542}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10006] = {id = 10006, Name = 'Mjolnir base chest', Order = 22, NPC = 7840, Type = 1, GuildReward = {3540}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10007] = {id = 10007, Name = 'War Ender base chest', Order = 23, NPC = 7860, Type = 1, GuildReward = {3548}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10008] = {id = 10008, Name = 'Mystletainn base chest', Order = 24, NPC = 7860, Type = 1, GuildReward = {3545}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10009] = {id = 10009, Name = 'Winter Crystal base chest', Order = 26, NPC = 7850, Type = 1, GuildReward = {3549}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10010] = {id = 10010, Name = 'Destroyer base chest', Order = 27, NPC = 7850, Type = 1, GuildReward = {3547}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10011] = {id = 10011, Name = 'Valkyrie Realm base chest', Order = 29, NPC = 7830, Type = 1, GuildReward = {3551}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10012] = {id = 10012, Name = 'Britoniah base chest', Order = 30, NPC = 7840, Type = 1, GuildReward = {3552}, GuildMemberReward = _EmptyTable, Desc = '', }, 
	[10013] = {id = 10013, Name = 'Luina base chest', Order = 31, NPC = 7860, Type = 1, GuildReward = {3553}, GuildMemberReward = _EmptyTable, Desc = '', }, 
