--md5:441f457b37e5915e56730d05d093de0c
Table_Tips = { 
	[1] = {id = 1, Type = 1, Desc = 'Acting cute is the core gameplay of this game~ヽ(๑·ᴗ·๑)ﾉ♥'},
	[2] = {id = 2, Type = 1, Desc = 'Welcome to Ragnarok: Eternal Guardians of Love, an MMO chat dating game! (๑˃ ꇴ ˂ ๑)'},
	[3] = {id = 3, Type = 1, Desc = 'We will have world peace as long as we keep acting cute! Ｏ(≧∇≦)Ｏ'},
	[4] = {id = 4, Type = 1, Desc = 'Pro tip for combat: close in on your enemy with your cute face to make them unable to hit such a cutie. (๑·ᴗ·๑)ﾉ♥'},
	[5] = {id = 5, Type = 1, Desc = 'Can’t finish tasks... Can’t beat Bosses... Can’t get the card I want... The south gate is where I belongs... (´-д-)-3'},
	[6] = {id = 6, Type = 1, Desc = 'My Storage is full of headwares and I have to change before posing for my fan’s camera. No one understands.'},
	[7] = {id = 7, Type = 1, Desc = 'You’ll receive the legendary Poo Poo Hat by successfully cheating during a job advance exam! （＞д＜）'},
	[8] = {id = 8, Type = 1, Desc = 'Each job has its own unique specialty. Which one will you choose, adventurer? >_<|||'},
	[9] = {id = 9, Type = 1, Desc = 'I wonder how I can select the secret GM Job? Up, up, down, down... Left, right, left, right... ┗(＾0＾)┓'},
	[10] = {id = 10, Type = 1, Desc = 'The world of RO is huge. I’d like to go on a journey to take a look around. Bring a camera~ (｡･ω･｡)ﾉ♡'},
	[11] = {id = 11, Type = 1, Desc = 'The air is clean without haze... Put away your clothes for it’s about to rain! [′⊙ω⊙`]'},
	[12] = {id = 12, Type = 1, Desc = 'Something incredible will happen if you take a photo of a savage... (￣ε(#￣)'},
	[13] = {id = 13, Type = 1, Desc = 'Single boys and girls, it’s time to party up. Let’s make or break as many matches as possible... o(╥﹏╥)o'},
	[14] = {id = 14, Type = 1, Desc = 'Strong enemies don’t scare me, stupid allies do! Why turning into a Savage when fighting Boss?! o(╥﹏╥)o'},
	[15] = {id = 15, Type = 1, Desc = 'Anyone who uses Thief Bug or Argiope as their avatar is my friend! (☆^O^★)'},
	[16] = {id = 16, Type = 1, Desc = 'Wind > Water > Fire > Earth > Wind. Get it? ╮(╯▽╰)╭'},
	[17] = {id = 17, Type = 1, Desc = 'Crit rate can be raised above than 100%! But it hardly serves any purpose... ～(￣▽￣)～'},
	[18] = {id = 18, Type = 1, Desc = 'Quietly, the two chatted for the whole night using only emotes... ～(^з^)-☆'},
	[19] = {id = 19, Type = 1, Desc = 'Well, have you even seen a Metaling? It looks like this (°皿 °)!'},
	[20] = {id = 20, Type = 1, Desc = 'Vadons are so cute. Please stop hurting them! V=(° °)=V'},
	[21] = {id = 21, Type = 1, Desc = 'A Baphomet! I’m so nervous! ( °口°)‼ And so I grab my camera and start taking photos...'},
	[22] = {id = 22, Type = 1, Desc = 'Any decent Poring aspires to become a Mastering! That’s why Porings never lose weight! (๑>؂<๑)'},
	[23] = {id = 23, Type = 1, Desc = 'You’ve smacked so many porings. Have you ever thought of the feeling of their moms? (〜￣△￣)〜'},
	[24] = {id = 24, Type = 1, Desc = 'Ghostring s comes and goes like a shadow →_→ Take photos of them if you have the chance~'},
	[25] = {id = 25, Type = 1, Desc = 'Travel across the world with a loved one~ (^＿^)'},
	[26] = {id = 26, Type = 1, Desc = 'You’ll occationally see a ghost when you turn on your camera... ԅ(¯ㅂ¯ԅ)'},
	[27] = {id = 27, Type = 1, Desc = 'That day, the mortals finally recalled the painful memory of grinding for gears... _(:з」∠)_'},
