--md5:68fd29f0aea9193e3ebc40c2957cdb45
Table_PveCard = { 
	[111] = {id = 111, Name = 'Angeling', Type = 'Boss', Difficulty = {1}, MonsterID = 210010, Effect = {1110}, Message = 'Angeling!! Boss incoming!!', Weight = 1, Resource = 'card_30001', HeadIcon = '', Tips = ''},
	[112] = {id = 112, Name = 'Golden Thief Bug', Type = 'Boss', Difficulty = {1}, MonsterID = 210020, Effect = {1120}, Message = 'Golden Thief Bug!! Boss incoming!!', Weight = 1, Resource = 'card_30002', HeadIcon = '', Tips = ''},
	[113] = {id = 113, Name = 'Deviling', Type = 'Boss', Difficulty = {1}, MonsterID = 210030, Effect = {1130}, Message = 'Deviling!! Boss incoming!!', Weight = 1, Resource = 'card_30003', HeadIcon = '', Tips = ''},
	[114] = {id = 114, Name = 'Drake', Type = 'Boss', Difficulty = {1}, MonsterID = 210040, Effect = {1140}, Message = 'Drake!! Boss incoming!!', Weight = 1, Resource = 'card_30004', HeadIcon = '', Tips = ''},
	[115] = {id = 115, Name = 'Strouf', Type = 'Boss', Difficulty = {1}, MonsterID = 210050, Effect = {1150}, Message = 'Strouf!! Boss incoming!!', Weight = 1, Resource = 'card_30005', HeadIcon = '', Tips = ''},
	[116] = {id = 116, Name = 'Goblin Leader', Type = 'Boss', Difficulty = {1}, MonsterID = 210060, Effect = {1160}, Message = 'Goblin Leader!! Boss incoming!!', Weight = 1, Resource = 'card_30006', HeadIcon = '', Tips = ''},
	[117] = {id = 117, Name = 'Mistress', Type = 'Boss', Difficulty = {1}, MonsterID = 210070, Effect = {1170}, Message = 'Mistress!! Boss incoming!!', Weight = 1, Resource = 'card_30007', HeadIcon = '', Tips = ''},
	[118] = {id = 118, Name = 'Maya', Type = 'Boss', Difficulty = {1}, MonsterID = 210080, Effect = {1180}, Message = 'Maya!! Boss incoming!!', Weight = 1, Resource = 'card_30008', HeadIcon = '', Tips = ''},
	[119] = {id = 119, Name = 'Phreeoni', Type = 'Boss', Difficulty = {1}, MonsterID = 210090, Effect = {1190}, Message = 'Phreeoni!! Boss incoming!!', Weight = 1, Resource = 'card_30009', HeadIcon = '', Tips = ''},
	[120] = {id = 120, Name = 'Eddga', Type = 'Boss', Difficulty = {1}, MonsterID = 210100, Effect = {1200}, Message = 'Eddga!! Boss incoming!!', Weight = 1, Resource = 'card_30011', HeadIcon = '', Tips = ''},
	[121] = {id = 121, Name = 'Osiris', Type = 'Boss', Difficulty = {1}, MonsterID = 210110, Effect = {1210}, Message = 'Osiris!! Boss incoming!!', Weight = 1, Resource = 'card_30012', HeadIcon = '', Tips = ''},
	[122] = {id = 122, Name = 'Moonlight Flower', Type = 'Boss', Difficulty = {2}, MonsterID = 210120, Effect = {1220}, Message = 'Moonlight Flower!! Boss incoming!!', Weight = 1, Resource = 'card_30013', HeadIcon = '', Tips = ''},
	[123] = {id = 123, Name = 'Orc Hero', Type = 'Boss', Difficulty = {2}, MonsterID = 210130, Effect = {1230}, Message = 'Orc Hero!! Boss incoming!!', Weight = 1, Resource = 'card_30014', HeadIcon = '', Tips = ''},
	[124] = {id = 124, Name = 'Kobold Leader', Type = 'Boss', Difficulty = {2}, MonsterID = 210140, Effect = {1240}, Message = 'Kobold Leader!! Boss incoming!!', Weight = 1, Resource = 'card_30024', HeadIcon = '', Tips = ''},
	[125] = {id = 125, Name = 'Doppelganger', Type = 'Boss', Difficulty = {2}, MonsterID = 210150, Effect = {1250}, Message = 'Doppelganger!! Boss incoming!!', Weight = 1, Resource = 'card_30015', HeadIcon = '', Tips = ''},
	[126] = {id = 126, Name = 'Atroce', Type = 'Boss', Difficulty = {2}, MonsterID = 210160, Effect = {1260}, Message = 'Atroce!! Boss incoming!!', Weight = 1, Resource = 'card_30023', HeadIcon = '', Tips = ''},
	[127] = {id = 127, Name = 'Kraken', Type = 'Boss', Difficulty = {2}, MonsterID = 30035, Effect = {1270}, Message = 'Kraken!! Boss incoming!!', Weight = 0, Resource = 'card_30035', HeadIcon = '', Tips = ''},
	[128] = {id = 128, Name = 'Orc Lord', Type = 'Boss', Difficulty = {2}, MonsterID = 210170, Effect = {1280}, Message = 'Orc Lord!! Boss incoming!!', Weight = 1, Resource = 'card_30016', HeadIcon = '', Tips = ''},
	[129] = {id = 129, Name = 'Detarderous', Type = 'Boss', Difficulty = {2}, MonsterID = 210180, Effect = {1290}, Message = 'Detarderous!! Boss incoming!!', Weight = 1, Resource = 'card_30017', HeadIcon = '', Tips = ''},
	[130] = {id = 130, Name = 'Owl Baron', Type = 'Boss', Difficulty = {2}, MonsterID = 210190, Effect = {1300}, Message = 'Owl Baron!! Boss incoming!!', Weight = 1, Resource = 'card_30018', HeadIcon = '', Tips = ''},
	[131] = {id = 131, Name = 'Chimera', Type = 'Boss', Difficulty = {2}, MonsterID = 210200, Effect = {1310}, Message = 'Chimera!! Boss incoming!!', Weight = 0, Resource = 'card_30019', HeadIcon = '', Tips = ''},
