Table_Dialog_Left = {}
local func_index = function(table, key)
	local data = StrTablesManager.GetData("Table_Dialog_Left", key);
	return data
end
local Mt_Table_Dialog_Left = {__index = func_index}
setmetatable(Table_Dialog_Left,Mt_Table_Dialog_Left)
Table_Dialog_Left_s = {
	[4] = "{id = 4, Speaker = 1015, Text = 'Congratulations on completing hidden tasks~!', Emoji = 2}",
	[5] = "{id = 5, Speaker = 1499, Text = 'Many [c][ffff00]Time Rifts[-][/c] have appeared, we need brave Adventurers. \n(Party quest, leaving the Party will fail)', Emoji = 1}",
	[9] = "{id = 9, Speaker = 1694, Text = '(Sizzle) You are lucky today, wanna try again?'}",
	[15] = "{id = 15, Speaker = 1050, Text = 'Hi [c][ffff00][PlayerName][-][/c], you’ve finally come!', Emoji = 0, Action = {actionid = 34}}",
	[16] = "{id = 16, Speaker = 1050, Text = 'We agreed to [c][ffff00]register for Adventurers[-][/c] together, but you left me in the queue...', Emoji = 0}",
	[17] = "{id = 17, Speaker = 1050, Text = 'I thought you run into monsters, but instead, you are here day-dreaming. Come on...', Emoji = 1}",
	[18] = "{id = 18, Speaker = 1050, Text = 'Well, go meet [c][ffff00]Miss Alin[-][/c], she is also worried about you.', Emoji = 0}",
	[19] = "{id = 19, Speaker = 1042, Text = '[c][ffff00]Cenia[-][/c], have you found your partner?', Emoji = 0}",
	[20] = "{id = 20, Speaker = 1050, Text = 'Yes, [c][ffff00]Miss Alin[-][/c]. This guy likes day-dreaming and always has those strange ideas that no one could understand...', Emoji = 0, Action = {num = 1, actionid = 34}}",
	[21] = "{id = 21, Speaker = 1042, Text = '[c][ffff00][PlayerName][-][/c], once you become an Adventurer, you will perform dangerous tasks which need your full attention, day-dreaming not allowed!', Emoji = 0}",
	[22] = "{id = 22, Speaker = 1050, Text = 'Don’t worry! This guy may look lazy, but he’s very agile in battles, and very talented.', Emoji = 0, Action = {num = 1, actionid = 34}}",
	[23] = "{id = 23, Speaker = 1042, Text = 'OK then. I’ve finished your registration. But remember: To be an Adventurer, You need to pass the tests, go find [c][ffff00]coach Poya[-][/c] for more information.', Emoji = 1}",
	[24] = "{id = 24, Speaker = 1054, Text = 'Is it [c][ffff00]Cenia[-][/c] and [c][ffff00][PlayerName][-][/c]? You are looking good! Come and sign here. Once you are ready, let’s start the [c][ffff00]Entrance Tests[-][/c].', Emoji = 0}",
	[25] = "{id = 25, Speaker = 1054, Text = 'Recently, the monsters are rampant and the [c][ffff00]Adventurer’s Guild[-][/c] is short-handed, so the [c][ffff00]Eden Team[-][/c] has also become a formal organization, Making recruitment stricter than before.', Emoji = 0}",
	[26] = "{id = 26, Speaker = 1054, Text = 'But don’t worry. To support you in the tests, we’ve prepared special newbie gears for you. Collect now?', Option = 'Yes, now!', Emoji = 0}",
	[27] = "{id = 27, Speaker = 1054, Text = 'OK, as for the test... Let me see... Got it! Defeat 5 pinky sticky and puffy jelly monsters!', Emoji = 0}",
	[28] = "{id = 28, Speaker = 0, Text = 'Do you mean [c][ffff00]Porings[-][/c]?!', Emoji = 1}",
	[29] = "{id = 29, Speaker = 1054, Text = 'Yes! Yes! The monsters are demonized recently, Even the Porings become frenzied. Though the losses are not big, the residents keep complaining about it, so please go teach them a lesson.', Option = 'OK!', Emoji = 0}",
	[30] = "{id = 30, Speaker = 1054, Text = 'Finished? Quite well!', Emoji = 2}",
	[31] = "{id = 31, Speaker = 1054, Text = 'Let me see what’s next... Well, it’s a little... Defeat 5 fluffy soft and slow caterpillars!', Emoji = 0}",
	[32] = "{id = 32, Speaker = 0, Text = 'Are you talking about [c][ffff00]Fabres[-][/c]?!', Emoji = 1}",
	[33] = "{id = 33, Speaker = 1054, Text = 'Correct! Demonized Fabres are much bigger than before, They are harmless, but they are too ugly, please get rid of them!', Option = 'OK!', Emoji = 0}",
	[34] = "{id = 34, Speaker = 1054, Text = 'OK! This task is beautifully done too.', Emoji = 0}",
	[35] = "{id = 35, Speaker = 1054, Text = 'The last challenge, it’s a little hard... Defeat 3 fluffy soft and jumpy furry monsters!', Emoji = 0}",
	[36] = "{id = 36, Speaker = 0, Text = 'This time it should be [c][ffff00]Lunatics[-][/c]...', Emoji = 1}",
	[37] = "{id = 37, Speaker = 1054, Text = 'Affected by the [c][ffff00]Repair Rift[-][/c], the gentle monsters are all turned frenzied, We are looking for ways to calm them but haven’t achieved anything. So, please help us!', Option = 'Alright!', Emoji = 0}",
	[38] = "{id = 38, Speaker = 0, Text = 'What’s up, man?', Emoji = 0}",
	[39] = "{id = 39, Speaker = 1053, Text = 'Adventurer? Good timing. I’m a guard from the [c][ffff00]Morroc Commerce[-][/c].', Emoji = 0}",
	[40] = "{id = 40, Speaker = 1053, Text = 'I was travelling with my daughter to [c][ffff00]Prontera[-][/c], and I wanted to collect some Cotton Linters here, but now I can’t find my daughter.', Emoji = 0}",
	[41] = "{id = 41, Speaker = 0, Text = 'Recently, monsters around here are quite grumpy!', Emoji = 0}",
	[42] = "{id = 42, Speaker = 1053, Text = 'Yeah, so I have to find her. Adventurer, can you help me to get some Cotton Linters?', Option = 'OK!', Emoji = 0}",
	[43] = "{id = 43, Speaker = 1053, Text = 'Thanks a lot! This [c][ffff00]Cross-sea Bridge[-][/c] is amazing, can you take a picture for me?', Emoji = 0}",
	[44] = "{id = 44, Speaker = 2139, Text = 'I grow up in [c][ffff00]Desert Capital[-][/c]. This is the first time I ever see such vibrant scenery... Really awesome...', Emoji = 29}",
	[45] = "{id = 45, Speaker = 1053, Text = 'Oh well, I’ve found her, I’ll go get her back now.', Emoji = 0}",
	[46] = "{id = 46, Speaker = 0, Text = 'She must have been intoxicated by the landscape.', Emoji = 0}",
	[47] = "{id = 47, Speaker = 1053, Text = 'Oh, by the way, please tell captain [c][ffff00]Hadnall[-][/c] that I will join him once I get my daughter back.', Emoji = 0}",
	[48] = "{id = 48, Speaker = 0, Text = 'OK, but I’m in a test now, I need to let [c][ffff00]Poya[-][/c] know this.', Emoji = 6}",
	[49] = "{id = 49, Speaker = 0, Text = 'Is the caravan in trouble?', Emoji = 0}",
	[50] = "{id = 50, Speaker = 1044, Text = 'The [c][ffff00]Morroc Commerce[-][/c] send us here to catch an [c][ffff00]Angeling[-][/c], hope it’s here.', Emoji = 0}",
	[51] = "{id = 51, Speaker = 1044, Text = 'But the [c][ffff00]Angeling[-][/c] is quite cunning. It runs fast and likes stealing. Instead of catching it, we’ve lost many supplies...', Emoji = 0}",
	[52] = "{id = 52, Speaker = 0, Text = 'You can never catch it without the right way.', Emoji = 0}",
	[53] = "{id = 53, Speaker = 1044, Text = 'Young man, You seem quite idle, Can you help me deliver some goods? [c][ffff00]Pet Trader Cabor[-][/c] in [c][ffff00]Prontera[-][/c] is quite experienced in catching monsters, please go and ask him how to catch the Angeling.', Emoji = 0}",
	[54] = "{id = 54, Speaker = 0, Text = 'Do I look idle...', Emoji = 0}",
	[55] = "{id = 55, Speaker = 1052, Text = '[c][ffff00][PlayerName][-][/c], right on time~ You know, this time the goods are [c][ffff00]3 monsters[-][/c]~', Emoji = 0, Voice = 'Visit'}",
	[56] = "{id = 56, Speaker = 0, Text = 'Monsters?! How can I deliver them? What if they went crazy?', Emoji = 1}",
	[57] = "{id = 57, Speaker = 1052, Text = 'Now every national organization is analyzing the cause for this demonizing trend and trying to find solutions for it. We [c][ffff00]Morroc Commerce[-][/c] does the same.', Emoji = 0}",
	[58] = "{id = 58, Speaker = 1052, Text = 'Recently we’ve made some progress and want to know if Uncle [c][ffff00]Cabor[-][/c] knows how to promote this method.', Emoji = 0}",
	[59] = "{id = 59, Speaker = 0, Text = 'OK, I will go find Uncle [c][ffff00]Cabor[-][/c] now!', Emoji = 0}",
	[60] = "{id = 60, Speaker = 1043, Text = 'I’ve studied these monsters, With further study, I should be able to find a way to tame them. Well done, [c][ffff00][PlayerName][-][/c]!', Emoji = 0}",
	[61] = "{id = 61, Speaker = 0, Text = 'The [c][ffff00]Morroc Commerce[-][/c] send me here to ask if you know how to catch the [c][ffff00]Angeling[-][/c].', Emoji = 0}",
	[62] = "{id = 62, Speaker = 1043, Text = 'Angeling? There is no guaranteed method. But I know that the [c][ffff00]Angeling[-][/c] always shows up with a bunch of Porings.', Emoji = 0}",
	[63] = "{id = 63, Speaker = 1043, Text = 'If we use [c][ffff00]Juice[-][/c] to attract Porings, the Angeling may show up too~', Emoji = 0}",
